"SYMBOL","NAME","EXCHANGE","SECTOR","MARKET_CAP","DIV_YIELD","ADV_20D"
"CNU.NZ","Chorus","NZX","Industrials",397046740,6.93,1502395
"CRP.NZ","Chatham Rock Phosphate","NZX","Energy",175260005,2.53,80880
"CVT.NZ","Comvita Limited","NZX","Health Care",221186916,7.58,61572
"DGL.NZ","Delegat Group","NZX","Real Estate",148323304,6.65,179346
"DIV.NZ","Smartshares NZ Dividend ETF","NZX","Financials",12700827352,5.55,3503217
"DOW.NZ","Downer EDI Works","NZX","Real Estate",2482891726,0,7598671
"EBO.NZ","Ebos Group","NZX","Real Estate",7647630123,3.93,105409
"EMF.NZ","Smartshares Emerging Markets ETF","NZX","Technology",227218577,3.5,6628886
"EMG.NZ","Smartshares Emerging Markets Equities ESG ETF","NZX","Consumer Staples",1400779426,6.22,1217869
"ENS.NZ","Enprise Group","NZX","Materials",92115803114,7.84,2752
"ERD.NZ","EROAD Limited","NZX","Technology",13437181628,4.79,1807381
"EUG.NZ","Smartshares Global Equities ESG ETF","NZX","Health Care",5799278350,0,31052
"EUF.NZ","Smartshares Europe ETF","NZX","Real Estate",208385904,7.3,3202
"EUG.NZ","Smartshares Europe Equities ESG ETF","NZX","Technology",4941149855,5.83,372292
"EVO.NZ","Evolve Education Group","NZX","Consumer Staples",435164208,5.39,4873445
"FBU.NZ","Fletcher Building","NZX","Energy",1242544747,3.96,2365
"FNZ.NZ","Smartshares NZ Top 50 ETF","NZX","Real Estate",75525070889,1.18,688676
"FPH.NZ","Fisher & Paykel Healthcare","NZX","Communication Services",91134617560,1.09,241378
"FRE.NZ","Freightways","NZX","Industrials",26221676880,0.9,22767
"FSF.NZ","Fonterra Shareholder's Fund","NZX","Financials",130365415,6.92,26011
"FWL.NZ","Foley Wines","NZX","Materials",20091763287,1.94,55733
"GBF.NZ","Smartshares Global Bond ETF","NZX","Technology",37566098683,6.26,288544
"GEN.NZ","General Capital","NZX","Health Care",75150703694,7.99,2256
"GEO.NZ","Geo Limited","NZX","Industrials",16169852855,4.29,7756
"GFL.NZ","Geneva Finance","NZX","Consumer Staples",4624731414,3.02,51224
"GMT.NZ","Goodman Property Trust","NZX","Health Care",1410249094,7.59,6514
"GNE.NZ","Genesis Energy Limited","NZX","Real Estate",26621625543,4.13,8111353
"GSH.NZ","Good Spirits Hospitality","NZX","Technology",16423272506,2.73,5100
"GTK.NZ","Gentrack Group Ltd","NZX","Communication Services",36273909980,4.36,1377462
"GWC.NZ","Goodwood Capital","NZX","Health Care",368638719,6.88,7635
"GXH.NZ","Green Cross Health","NZX","Real Estate",241564094,6.89,200093
"HFL.NZ","Henderson Far East Fund","NZX","Real Estate",7809334573,0,163074
"HGH.NZ","Heartland Group Holdings","NZX","Health Care",2803926131,2.45,6512
"HLG.NZ","Hallenstein Glassons Holdings","NZX","Communication Services",12791386396,0,56534
"HMY.NZ","Harmoney Group","NZX","Energy",94399425436,1.57,2107799
"IFT.NZ","Infratil","NZX","Energy",188604382,1.28,5299
"IKE.NZ","ikeGPS","NZX","Technology",47862300631,4.84,1199
"IPL.NZ","Investore Property","NZX","Utilities",6362523764,0,15471
"JLG.NZ","Just Life Group","NZX","Real Estate",461776962,5.38,244884
"JPG.NZ","JPMorgan Global Growth & Income plc","NZX","Energy",32530131041,1.2,93750
"JPN.NZ","Smartshares Japan Equities ESG ETF","NZX","Consumer Staples",101098169,0,68095
"KFL.NZ","Kingfish Limited","NZX","Communication Services",659423007,6.1,113009
"KMD.NZ","KMD Brands","NZX","Financials",7709703219,7.97,320335
"KPG.NZ","Kiwi Property","NZX","Communication Services",1144530153,3.61,111234
"LIC.NZ","Livestock Improvement Corporation","NZX","Financials",1379365166,3.76,1092159
"LIV.NZ","Smartshares Healthcare Innovation ETF","NZX","Health Care",153389792,0.73,21313
"MCK.NZ","Millennium & Copthorne Hotels","NZX","Technology",517846373,1.65,4739309
"MCKPA.NZ","Millennium & Copthorne Hotels New Zealand Preference","NZX","Financials",95049709359,0,100765
"MCY.NZ","Mercury Energy","NZX","Real Estate",6996071760,6.15,132489
"MDZ.NZ","Smartshares NZ Mid Cap ETF","NZX","Consumer Staples",139269101,6.84,8825
"MEE.NZ","Me Today","NZX","Energy",75323860395,0,1499136
"MEL.NZ","Meridian Energy","NZX","Communication Services",8658344993,5.68,11983
"MFT.NZ","Mainfreight","NZX","Technology",3139947842,3.18,1181287
"MHJ.NZ","Michael Hill Jeweller","NZX","Communication Services",55691667132,6.17,6624
"MHM.NZ","MHM Automation","NZX","Consumer Discretionary",3123611455,4.5,1204552
"MLN.NZ","Marlin Global","NZX","Health Care",1531638524,5.12,5338
"MMH.NZ","Marsden Maritime Holding","NZX","Communication Services",66460802708,2.49,132442
"MPG.NZ","Metro Performance Glass","NZX","Real Estate",77006744818,4.47,184005
"MWE.NZ","Marlborough Wine Estates Group","NZX","Utilities",1135938492,0,3632
"MZY.NZ","Smartshares Australian Mid Cap ETF","NZX","Energy",374055783,0.87,13231
"NGB.NZ","Smartshares S&P/NZX NZ Government Bond ETF","NZX","Consumer Discretionary",616896546,2.87,6955
"NPF.NZ","New Zealand Property Trust","NZX","Communication Services",85775869643,4.29,7706
"NPH.NZ","Napier Port Holdings","NZX","Communication Services",4607618168,7.03,1729
"NTL.NZ","New Talisman Gold Mines","NZX","Real Estate",14663721067,1.56,88017
"NWF.NZ","NZ Windfarms","NZX","Industrials",133877192,0.99,825971
"NZB.NZ","Smartshares NZ Bond ETF","NZX","Financials",4101191315,5.48,252457
"NZC.NZ","Smartshares NZ Cash ETF","NZX","Utilities",46553473266,7.36,1485
"NZG.NZ","Smartshares S&P/NZX 50 ETF","NZX","Materials",51182603602,0,32873
"NZK.NZ","NZ King Salmon Investments","NZX","Health Care",90754123058,0.64,5882617
"NZL.NZ","New Zealand Rural Land Company","NZX","Materials",54129339688,2.38,2065634
"NZM.NZ","New Zealand Media and Entertainment","NZX","Financials",1171452256,4.28,68819
"NZO.NZ","New Zealand Oil & Gas","NZX","Technology",6444385698,3.79,278769
"NZR.NZ","The New Zealand Refining Company","NZX","Communication Services",29394182737,0,21411
"NZX.NZ","NZX","NZX","Financials",57999620331,0,35411
"OCA.NZ","Oceania Healthcare","NZX","Communication Services",864480536,2.43,1631160
"OZY.NZ","Smartshares Australian Top 20 ETF","NZX","Communication Services",1534054613,5.04,508706
"PCT.NZ","Precinct Properties New Zealand","NZX","Industrials",5579974648,0.92,34625
"PEB.NZ","Pacific Edge Limited","NZX","Consumer Staples",1398025023,0,3020
"PFI.NZ","Property for Industry","NZX","Technology",9208651081,5.21,5142834
"PGW.NZ","PGG Wrightson","NZX","Financials",4009142513,4.08,28554
"PHL.NZ","Promisia Healthcare","NZX","Health Care",42510994832,0,2150
"POT.NZ","Port of Tauranga","NZX","Industrials",3862857827,2.46,308388
"PPH.NZ","Pushpay Holdings","NZX","Materials",47721902024,6.24,1441644
"PX1.NZ","Plexure Group","NZX","Industrials",21135261615,0.98,152395
"PYS.NZ","PaySauce Limited","NZX","Industrials",4984921343,7.51,4855459
"QEX.NZ","QEX Logistics Limited","NZX","Financials",467130621,2.86,2867306
"RAD.NZ","Radius Residential Care","NZX","Technology",19421742546,1.44,8478333
"RAK.NZ","Rakon","NZX","Consumer Discretionary",29752015084,4.57,3092420
"RBD.NZ","Restaurant Brands","NZX","Utilities",1142077003,0,5046774
"RUA.NZ","RUA Bioscience","NZX","Industrials",12710467505,1.93,28725
"RYM.NZ","Ryman Healthcare","NZX","Energy",18615303121,0,2221336
"SAN.NZ","Sanford Limited","NZX","Real Estate",161235464,7.53,331405
"SCL.NZ","Scales Corporation","NZX","Consumer Staples",6330762808,7.27,5237
"SCT.NZ","Scott Technology","NZX","Industrials",11032432496,0.73,40957
"SCY.NZ","Smiths City","NZX","Financials",17609734546,3.06,2276643
"SDL.NZ","Solution Dynamics","NZX","Financials",28130151050,5.03,39614
"SEK.NZ","Seeka Kiwifruit Industries","NZX","Materials",574400714,6.4,2258684
"SKC.NZ","SkyCity Entertainment Group","NZX","Technology",5469107021,0,6829232
"SKL.NZ","Skellerup","NZX","Health Care",1151361774,6.24,1608
"SKO.NZ","Serko","NZX","Real Estate",11632962732,1.17,7713
"SKT.NZ","Sky Network Television","NZX","Technology",20996370517,2.18,5534
"SML.NZ","Synlait","NZX","Financials",54589927844,3,276738
"SMW.NZ","SMW Group","NZX","Real Estate",33229919482,0.66,12844
"SNC.NZ","Southern Charter Financial Group","NZX","Technology",119388823,2.67,18156
"SPG.NZ","Stride Property & Stride Investment Management","NZX","Utilities",1196547892,2.79,95284
"SPK.NZ","Spark New Zealand","NZX","Consumer Discretionary",8243849315,6.95,274256
"SPN.NZ","South Port New Zealand","NZX","Utilities",567844359,0,11917
"SPY.NZ","Smartpay Holdings","NZX","Materials",142825113,3.67,2040659
"STU.NZ","Steel & Tube","NZX","Industrials",11260319869,0,5800540
"SUM.NZ","Summerset Group","NZX","Industrials",280113062,0,228374
"TAH.NZ","Third Age Health Services","NZX","Communication Services",682515823,7.1,45662
"TCL.NZ","City of London Investment Trust","NZX","Consumer Discretionary",848012133,2.15,73548
"TEM.NZ","Templeton Emerging Markets Investment Trust","NZX","Technology",277883719,1.51,20540
"TGG.NZ","T&G Global","NZX","Health Care",12046448719,5.81,855063
"THL.NZ","Tourism Holdings","NZX","Utilities",13552151674,3.52,706125
"TNZ.NZ","Smartshares NZ Top 10 ETF","NZX","Utilities",1834853454,2.12,127829
"TPW.NZ","Trustpower","NZX","Real Estate",37156963850,0,23869
"TRA.NZ","Turners Automotive Group","NZX","Consumer Discretionary",7890033629,7.88,60742
"TRU.NZ","TruScreen Limited","NZX","Industrials",50489146963,0,2762
"TWF.NZ","Smartshares Total World ETF","NZX","Energy",1364215281,1.59,4290799
"TWH.NZ","Smartshares Total World (NZD Hedged) ETF","NZX","Materials",14475705309,2.43,15916
"TWR.NZ","Tower Insurance","NZX","Energy",336030828,6.25,8906
"USA.NZ","Smartshares US Equities ESG ETF","NZX","Health Care",49059787105,5.53,199158
"USF.NZ","Smartshares US 500 ETF","NZX","Utilities",244847463,5.44,44520
"USG.NZ","Smartshares US Large Growth ETF","NZX","Health Care",11537620056,2.74,23145
"USM.NZ","Smartshares US Mid Cap ETF","NZX","Industrials",39862041810,1.75,235586
"USS.NZ","Smartshares US Small Cap ETF","NZX","Technology",92796864523,4.76,3305
"USV.NZ","Smartshares US Large Value ETF","NZX","Industrials",48365786248,0,73810
"VCT.NZ","Vector","NZX","Real Estate",127265623,4.6,1801910
"VGL.NZ","Vista Group International","NZX","Utilities",19188873088,0,86657
"VHP.NZ","Vital Healthcare Property Trust","NZX","Materials",3181415442,5.92,6073
"VTL.NZ","Vital Limited","NZX","Utilities",45498054178,4.22,608545
"WBC.NZ","Westpac","NZX","Communication Services",11174009242,2.29,1114
"WDT.NZ","Wellington Drive Technologies","NZX","Technology",92722796924,1.63,228762
"WHS.NZ","The Warehouse Group","NZX","Consumer Staples",451940500,0,1297448
"ZEL.NZ","Z Energy","NZX","Technology",146777900,0,1382235
